name;username;email;photo_url;rented_place;password
Anna V.;avoronova;example@meow.ru;https://ru.freepik.com/free-photo/british-shorthair-cat-look-camera_17420038.htm#fromView=keyword&page=1&position=0&uuid=934548c2-16a9-4c1b-b79a-10e83679e539&query=%D0%9A%D0%BE%D1%88%D0%BA%D0%B8;2;$2a$12$dGP6CuX5eyjZk77DcwXmZOLkG55LP.Sh10EmQdiJ8/kZNulQ4QX9W
Kolya V.;nvoronov;wow@meow.ru;https://ru.freepik.com/free-photo/british-shorthair-cat-look-camera_17420038.htm#fromView=keyword&page=1&position=0&uuid=c5ea3001-f67f-4326-bc84-91ff77e571fc&query=%D0%9A%D0%BE%D1%88%D0%BA%D0%B8;1;$2a$12$IYkcEdPi0iZ/pF5r/.Q7q.oHDE2qHqVuqMPTOsHZl.3o5tbfuRMIC
Смирнов Алексей Сергеевич;aсмирнов;aсмирнов@example.com;https://images.firma-gamma.ru/images/5/6/d36639273692l.jpg;1;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Васильев Алексей Сергеевич;aвасильев;aвасильев@example.com;https://images.firma-gamma.ru/images/5/6/d36639273692l.jpg;2;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Козлов Алексей Сергеевич;aкозлов;aкозлов@example.com;https://images.firma-gamma.ru/images/5/6/d36639273692l.jpg;3;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Попов Алексей Сергеевич;aпопов;aпопов@example.com;https://images.firma-gamma.ru/images/5/6/d36639273692l.jpg;4;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Новиков Алексей Сергеевич;aновиков;aновиков@example.com;https://images.firma-gamma.ru/images/5/6/d36639273692l.jpg;5;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Морозов Алексей Сергеевич;aморозов;aморозов@example.com;https://images.firma-gamma.ru/images/5/6/d36639273692l.jpg;6;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Павлов Алексей Сергеевич;aпавлов;aпавлов@example.com;https://images.firma-gamma.ru/images/5/6/d36639273692l.jpg;7;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Семенов Алексей Сергеевич;aсеменов;aсеменов@example.com;https://images.firma-gamma.ru/images/5/6/d36639273692l.jpg;8;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Голубев Алексей Сергеевич;aголубев;aголубев@example.com;https://images.firma-gamma.ru/images/5/6/d36639273692l.jpg;9;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Виноградов Алексей Сергеевич;aвиноградов;aвиноградов@example.com;https://images.firma-gamma.ru/images/5/6/d36639273692l.jpg;10;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Смирнов Алексей Сергеевич;aсмирнов1;aсмирнов1@example.com;https://images.firma-gamma.ru/images/5/6/d36639273692l.jpg;1;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
